ax,ay,az,gx,gy,gz,tg
-3626,7673,-5408,-641,1208,283,1
1482,12938,-6842,633,-1398,2597,1
3112,14704,-11233,-694,1466,-1869,1
-1315,8431,-3871,-1986,1137,-2560,1
-3955,4173,665,1169,-223,-520,1
-1554,988,-2095,2344,-3205,2071,1
2917,-4604,467,965,-5393,3843,1
10760,-9813,8229,-2794,-3338,1685,1
6297,-15281,26828,-5613,3047,-7696,1
-15453,-13045,14754,2520,7660,-3467,1
6123,-6734,3030,2958,-3214,7321,1
6080,-1321,739,1104,1143,865,1
-1430,3756,-4816,-305,2559,-1054,1
-3536,8751,-6168,-1225,-595,765,1
2466,13036,-9998,-324,357,1435,1
2043,12292,-8997,-1185,1192,-212,1
1591,6960,-1292,-267,-607,-1725,1
-2504,2962,-1973,1671,-3887,-751,1
-595,-719,-3199,212,-5939,1714,1
6951,-7313,6619,-2782,387,2168,1
-9221,-14316,27246,-1221,2505,-5080,1
-1835,-11496,6049,3909,2029,6258,1
7259,-4671,3854,3402,-389,4127,1
2666,-477,-40,2451,3068,629,1
-1201,6872,-5601,1771,800,1811,1
-199,12641,-5018,1545,-326,2801,1
9123,13973,-6693,2171,3727,56,1
3024,6059,-2538,4557,3737,-2344,1
-892,3759,-5246,7050,-161,-532,1
-1044,3914,-4866,6261,-2977,522,1
493,2771,-4474,5117,-1750,73,1
966,-945,-3119,2614,-1771,-439,1
1345,-8551,1792,762,-1426,-11,1
4104,-9158,8291,-6367,-4716,-946,1
-2641,-10183,-32550,-5476,3332,-6614,1
-9243,-7503,14008,2445,4783,2362,1
4535,-4139,3781,4543,-5547,10166,1
11690,1304,1254,2986,85,3292,1
780,4367,-4055,1546,3098,-2828,1
-4386,8042,-6873,1848,-371,-2035,1
-2135,10076,-9807,1691,1109,-1140,1
-1355,8552,-10448,2230,1457,-233,1
849,6335,-7939,1980,-1092,-700,1
-2023,4152,-5629,1328,-1374,-1478,1
-2712,2062,-4770,845,-2925,582,1
4228,-7812,802,-3423,-4656,2428,1
8390,-6578,21657,-9769,-1739,-2718,1
-4894,-7295,26652,-1796,5672,-5733,1
-3767,-7276,5050,4666,681,4265,1
5222,-2963,544,3583,-1664,5511,1
8369,1492,-467,-1113,4699,-483,1
-1636,4899,-1370,-682,5218,-3898,1
-8675,7500,-4933,693,2289,-2010,1
-6283,9330,-9458,1976,1493,4148,1
4356,8810,-12647,1943,-1714,5493,1
6379,7341,-7044,-460,-3434,506,1
2312,2886,-2929,-317,-1419,-2591,1
-747,-2480,-3666,-1304,-5271,-607,1
5587,-7515,1659,-6564,-3164,1622,1
7263,-11223,22156,-11442,2887,-8487,1
-6300,-8706,6815,2465,-755,5980,1
6334,-3927,1052,1808,-462,7237,1
5537,-806,-216,-2335,3987,1171,1
763,1299,197,-3159,4519,-437,1
-2252,7866,-3788,-3223,1130,18,1
-716,11289,-3894,-3248,1128,-1187,1
-2900,13971,-5212,-2214,1276,1654,1
5823,14019,-5747,-1296,-4282,4173,1
6224,8698,-625,-707,-2315,-1769,1
-1588,4168,-323,163,456,-3649,1
-1597,-213,1417,1975,-3670,-51,1
2585,-10503,-645,2718,-5704,170,1
7533,-14492,17054,-7586,-922,-3949,1
-5163,-15602,26475,-1888,10596,-10430,1
-11326,-9160,2824,3540,2872,2829,1
4929,-3778,533,2290,-3319,6041,1
4007,-292,-1144,276,709,1814,1
1194,4920,-5222,-1436,775,1322,1
-1281,10071,-5662,-2148,-2066,857,1
2218,13446,-9010,-1728,-2546,1794,1
-724,7245,-453,-1027,1435,-3997,1
-5468,2732,73,1861,-2432,-1448,1
-2469,-2803,-4081,3685,-7423,2607,1
3454,-9574,-1134,-1125,-6959,5154,1
12642,-14203,17858,-9301,3071,-3327,1
-8655,-12401,28644,-2087,3964,-6512,1
-5843,-8587,8024,3678,-441,4619,1
8915,-3752,1153,2861,-828,4905,1
4259,1769,-2239,-380,3307,-1238,1
-2005,7431,-4056,-1003,2179,-1856,1
-2258,12197,-5972,1318,-464,904,1
-36,13059,-8487,2163,580,-313,1
1214,8240,-7145,1628,-282,-1088,1
-2166,3302,-2980,2233,-2489,-403,1
-1028,364,-1848,1945,-4412,2011,1
3927,-6553,2780,-486,-3816,3876,1
11615,-8757,17288,-6232,-612,-1857,1
-1350,-11548,30177,-2592,6139,-8152,1
-9519,-9152,7049,3905,3110,2683,1
9563,-3985,1120,3186,-1848,4436,1
-5659,6564,-6580,-969,2723,-588,1
-1530,11621,-10374,-312,2561,1702,1
462,13564,-11855,-1039,1086,552,1
345,9455,-3338,-1199,144,-403,1
-2532,4874,-56,1206,2453,161,1
-1048,1745,-595,71,4831,1255,1
4988,-5995,10450,-1574,12467,999,1
4387,-10129,14598,888,15692,-11562,1
-16957,-17931,2943,2157,9526,-8613,1
-10039,-12352,5657,-1019,7362,3501,1
6335,-4754,3868,-745,2492,4764,1
2388,852,-1412,-1563,7985,-2815,1
-2336,6497,-6673,-2059,6556,-779,1
376,11926,-10603,-1529,1616,1122,1
2401,13371,-7744,-2477,296,-435,1
-1853,7541,-4887,-3345,2305,149,1
-4247,3195,-1059,-4658,2992,563,1
-3029,-528,3589,-2605,27,4044,1
866,-3607,10632,-100,-3942,5866,1
4541,-7978,14647,4543,-3434,224,1
-16457,-12566,1737,199,2387,-1302,1
-1518,-5268,2262,-340,-2359,4975,1
5627,1859,874,-178,-1540,1154,1
2824,7359,-4131,1605,815,-2380,1
-683,10587,-10632,3529,-1255,-2745,1
86,8680,-15553,4445,1546,-5526,1
-9238,1522,-19711,346,2854,-4253,1
-5017,-508,-9495,-5172,3687,-61,1
-6905,-1178,-88,-5549,1072,2446,1
-1246,-3151,8607,-1879,-3904,6175,1
1590,-5352,7995,1266,-6524,5912,1
7190,-9574,14722,-874,-1372,-3813,1
-17391,-14061,5833,-387,6783,-8580,1
-3273,-8690,10214,510,262,7224,1
4544,-959,4495,-204,-701,3380,1
4243,3401,-2100,469,768,-1604,1
-263,10271,-7307,2361,-360,-2274,1
-3865,10153,-14146,1964,-1011,-3501,1
-8723,6168,-14158,692,-780,-1571,1
-3112,3269,-8913,-713,-5610,2711,1
-786,-634,-862,-3344,-5687,4379,1
6541,-5554,7,-2266,-15142,7166,1
10334,-11710,6794,-2664,-18082,1681,1
2572,-12831,13325,-3901,-5760,-3567,1
-4721,-8932,10832,-2332,-28,443,1
5154,-3982,1608,1438,-6018,470,1
4144,885,-299,1801,-9501,1655,1
456,5097,-4176,-1210,-7814,-1217,1
-2958,8815,-2835,-4874,-7258,-2379,1
-2385,11955,372,-6029,-6528,333,1
349,10066,6149,-4065,-6646,-795,1
2627,6520,7645,-12,-6310,-897,1
3449,994,3010,3073,-4740,-2727,1
-2814,-8587,-327,2358,-5108,-1554,1
4503,-12643,5132,-3800,-2553,6107,1
12117,-10054,19490,-2524,189,-2875,1
1154,-9637,6654,4770,682,-4196,1
-1708,-5104,-4295,3159,-1780,-481,1
929,1558,-3570,-1438,953,-82,1
-1520,8415,-1765,-1997,2121,-292,1
1439,12381,-4853,-615,221,1079,1
1426,12406,-4638,-1925,-1542,-1245,1
-310,6748,750,-1585,-3411,-480,1
2064,2697,2754,370,-3428,29,1
2133,-3827,709,1639,-2879,397,1
4763,-12672,16051,-4040,760,291,1
3839,-8337,14541,3413,703,-795,1
1140,-7479,244,6021,-1169,108,1
3384,-1867,-3989,2748,1093,370,1
2773,4895,-5297,518,3554,-2072,1
-2255,8619,-4561,184,1747,-1571,1
2268,10030,-7564,1769,-1169,1485,1
2476,7905,-9844,869,-1843,540,1
1744,4045,-6705,-2231,-3622,1432,1
3801,455,929,-1699,-4507,1973,1
3027,-6905,3868,-651,-3728,1816,1
4457,-8489,8021,-4116,168,336,1
1719,-8970,19221,-4105,1670,-2413,1
-1289,-7503,9290,3371,764,-1275,1
387,-4822,-353,3194,275,1768,1
129,6703,-3945,-382,4884,-1484,1
30,9649,-5731,1721,1897,1746,1
5209,9900,-9609,956,-445,1592,1
4571,6292,-7250,-1281,-2422,772,1
5666,2391,-179,-1527,-3929,598,1
3967,-4731,-510,-133,-4600,433,1
5613,-10040,7398,-4925,-448,600,1
5049,-11654,21987,-3349,3745,-4968,1
-3615,-10531,10913,5097,2112,-1927,1
431,-7096,-623,5039,352,3241,1
6367,-2501,-794,552,4970,808,1
17,1669,-761,-134,5431,-1344,1
-1587,9595,-4549,471,3476,-185,1
2205,12192,-7127,586,1633,1748,1
2876,12029,-4044,-473,2854,-1094,1
2741,8257,-427,1028,1935,-155,1
2507,4140,18,2643,-305,-1689,1
-1047,1206,-508,2761,-1078,-877,1
1173,-2469,899,1636,-944,938,1
8624,-8900,4675,-2066,4367,-1097,1
3395,-12664,15217,-2281,383,-5511,1
4346,-11268,14229,82,11397,-6012,1
-3709,-7173,-555,1858,14918,-3262,1
4667,-1543,2372,410,8898,1035,1
561,4893,-1976,736,10148,-2974,1
-5331,9811,-4940,1074,6511,-1391,1
-1181,12239,-4750,1648,1835,3921,1
1913,10707,-2616,2753,1920,3180,1
6192,7542,-939,2933,2366,794,1
2356,4208,-1873,3338,1519,-2431,1
-2055,1253,-716,3874,-1646,-2022,1
-2792,-4146,1440,4497,-5480,2010,1
3849,-8079,1703,1561,-9440,3568,1
5969,-8432,13245,-5563,-2004,-3740,1
-10822,-8884,19750,-3283,3562,-4203,1
-2956,-5632,6464,2556,-2011,7036,1
6298,5038,-4819,-1341,-220,-2270,1
-4837,7516,-4978,-2487,1388,-6094,1
-11389,9898,-5028,-670,-980,-311,1
-637,9438,-4644,1561,-3208,4101,1
2081,7254,-4352,953,-1735,672,1
-1211,4555,-1836,94,-973,-698,1
-1268,67,-266,1849,-3833,264,1
1182,-4175,-1527,-1027,-3900,3309,1
9438,-9048,12993,-8297,1441,-2012,1
-4856,-13211,22628,-2380,5527,-8135,1
-5178,-8021,6101,6000,986,4345,1
5868,-3715,-2391,3597,-770,5765,1
9913,516,-2535,-1020,3136,-250,1
-871,4335,-1647,-2022,4511,-5184,1
-7739,8861,-3457,-14,210,-3191,1
-4954,10752,-4766,1323,-319,1046,1
-1589,9092,-5620,1463,-737,702,1
49,6436,-4353,516,-1717,497,1
974,1773,-1465,495,-2075,164,1
691,-4335,-2666,-143,-4690,1684,1
7192,-10149,9833,-7731,-2240,626,1
474,-11150,22821,-4490,3031,-4709,1
-2189,-7284,11070,2100,4157,1253,1
2415,-3611,-735,2404,-515,3071,1
4475,284,-2549,-1853,2492,901,1
-10582,8534,-2895,-3274,362,-508,1
-4603,11988,-3817,-113,-2729,6209,1
5545,11918,-6208,-1080,-2425,2988,1
4136,7607,-649,-2541,-387,-1355,1
952,3692,2198,-809,-197,-2781,1
448,-5206,656,2134,-5353,-1580,1
2825,-15254,-1816,-2759,-3922,421,1
722,-17128,16419,-8668,7354,-6163,1
-10862,-7586,11864,-855,3840,545,1
4075,-5149,1517,3858,-6429,5810,1
23,2298,-919,-4003,8013,-3159,1
-4194,6551,1685,-2566,2819,-2149,1
-2807,10451,-1214,806,-1799,1013,1
-555,12213,-5576,513,-981,-568,1
-518,8414,-3217,-1322,-1706,-972,1
-734,4933,2167,-543,-2034,207,1
1673,867,5036,2461,-3048,347,1
7,-7963,4156,5260,-6940,2602,1
8291,-7264,897,-2470,-1887,414,1
1281,-11363,17061,-7413,4776,-8430,1
-12902,-6766,12604,1343,2608,-26,1
1524,-3422,478,3963,-5536,7667,1
8186,3161,-4498,838,-2493,2635,1
1386,6168,-4831,-2076,2585,-5017,1
-7530,7962,-4015,-2252,1867,-2918,1
674,7998,-692,1388,-750,2204,1
960,4083,-549,1766,-999,926,1
1571,-950,2095,2595,-2005,1653,1
1572,-7899,4560,2685,-2088,4358,1
5569,-8502,7670,-2916,-1069,-921,1
-6219,-10727,19208,-1150,3320,-5599,1
-7558,-7225,4986,780,853,4233,1
10404,-2256,1257,-10,-2048,5542,1
5961,1307,-50,-1632,2781,-3800,1
-3768,6179,-4051,-1194,2072,-2481,1
-2668,9671,-4414,52,-1897,-472,1
-3124,11433,-4461,282,-1236,-17,1
-722,7841,-1968,896,-529,1047,1
49,2960,1870,1974,-923,1254,1
274,-2739,4551,2977,-3213,3120,1
6300,-5390,5086,-569,-2072,2406,1
3898,-11260,17442,-4412,1869,-4620,1
-894,-5189,3791,1320,313,4144,1
5791,1629,-378,-1331,2351,562,1
-2634,8363,-3697,-1766,5059,-4116,1
-8846,11980,-4715,-261,1992,-1328,1
-6284,11938,-3394,564,838,1708,1
1170,6588,2217,3917,916,4701,1
4761,3582,-1531,6009,1562,2529,1
1920,3129,-2492,4493,-1252,1750,1
2362,47,-233,3830,-3555,1924,1
7927,-6979,3014,2026,-4483,2596,1
9810,-11242,13355,-1565,-4261,-4140,1
-2898,-14754,20307,-1791,6066,-10213,1
-11020,-7784,5778,1413,2922,-1761,1
952,-2138,2358,1817,-2833,4463,1
4438,3800,-2238,159,-201,1767,1
-406,9810,-5183,-1228,2000,-4003,1
-9500,11493,-7529,-589,745,-978,1
-5924,11426,-3459,1415,-1547,4666,1
5781,7692,-1189,3446,-1578,2849,1
1239,5144,-3388,3362,-1248,-1436,1
-1825,1397,-2758,2933,-3032,386,1
2831,-7295,-2111,2314,-860,2150,1
9301,-11980,9692,-9438,324,-2665,1
-13282,-15381,29268,-3593,3749,-7981,1
-3415,-9414,11136,2247,1804,5872,1
7879,-1956,3088,700,1395,4168,1
-4168,7307,-3613,-2132,2837,-2635,1
-6283,11532,-5188,-1270,1230,-470,1
-2612,13384,-6546,183,2380,1940,1
3601,10545,-5479,649,-1808,1375,1
3030,6902,-2607,1324,-2105,-1580,1
392,2596,-1968,843,-1709,-1044,1
1645,-7426,-3195,725,-3961,1039,1
8524,-14567,7753,-8505,-911,-640,1
-739,-13391,29494,-6107,7570,-8243,1
-9712,-10124,10266,3581,8210,2631,1
9026,-2514,-1163,1943,357,6708,1
8355,2037,-2495,-2009,11591,-4763,1
-7878,6904,-4416,-2453,10445,-5296,1
-5237,10430,-7744,385,6951,-1426,1
